Acceleration_MPerS2_1X;Acceleration_MPerS2_1Y;Acceleration_MPerS2_1Z;Acceleration_MPerS2_2X;Acceleration_MPerS2_2Y;Acceleration_MPerS2_2Z
-0,31;6,99;-10,26;3,34;7,38;2,97
1,62;8,19;-10,03;3,34;11,46;-4,88
1,36;4,29;-7,95;2,67;7,53;-1,02
-1,33;4,08;-9,63;-3,1;1,01;-2,35
0,61;5,4;-6,46;-7,29;11,79;-4,3
0,87;3,3;-2,83;1,17;16,17;3,09
-2,74;3,45;-6,13;4,02;9,9;-2,45
-0,28;5,14;-10,41;2,06;1,77;-0,33
0,95;6,19;-11,82;0,46;2,97;3,19
-2,5;6,2;-9,54;-4,41;15,9;-2,64
-2,09;5,41;-9,09;0,33;13,04;3,69
-0,44;8,26;-10,63;4,49;8,88;0,33
0,88;8,82;-8,49;2,43;13,9;-4,81
0,4;4,59;-8,22;1,49;4,4;0,9
-1,87;4,76;-8,81;-6,98;5,92;-3,82
0,28;4,49;-4,31;-5,95;18,73;-0,5
-0,1;3,26;-1,65;4,2;14,95;2,09
-2,72;4,99;-5,36;2,17;7,4;-4,12
0,44;5,34;-9,88;0,25;2,27;3,3
0,21;7,33;-10,07;-1,9;9,76;2,1
-2,76;6,78;-7,69;-3,62;18,12;-1,3
-1,67;5,24;-8,42;1,93;9,54;4,41
0,39;8,28;-9,66;2,64;12,54;-1,69
1,81;7,09;-7,55;2,86;12,04;-1,24
-0,82;4,85;-7,81;-1,38;1,99;0,83
-1,93;4,74;-7,85;-8,26;12,9;-3,78
1,55;3,58;-3,7;-0,84;18,14;2,24
-0,65;3,27;-2,79;4,14;11,65;-0,09
-2,04;4,07;-5,98;1,66;6,4;-1,7
1,82;6,02;-10,49;-0,71;3,02;4,4
0;5,36;-10,99;-4,73;14,33;-1,49
-2,48;4,86;-7,03;-1,21;14,9;1,45
-0,52;6,12;-8,62;2,33;8,02;2,97
1,15;7,09;-9,18;2,43;14,14;-4,18
1,86;7,32;-6,06;2,63;6,97;1,08
-0,37;4,18;-8,03;-4,78;3,23;-2,33
-0,82;4,59;-7,47;-5,54;14,27;-3,18
1,33;4,22;-3,43;2,88;15,1;3,37
-1,25;2,12;-3,79;4,38;10,11;-3,25
-1,1;5,08;-7,54;1,58;1,64;1,09
1,56;5,28;-11,36;-2,92;4,58;2,97
-1,17;5,96;-10,72;-3,48;16,46;-2,96
-1,89;4,78;-8,46;2,06;9,69;3,17
-0,12;4,14;-9,96;3,33;9,39;-1,21
1,51;9,01;-9,69;2,74;13,53;-2,44
2,58;6,05;-7,37;-0,2;1,87;0,56
-0,47;5,03;-8,93;-6,27;6,69;-6,44
-0,02;6,11;-8,15;-2,5;17,08;0,3
1,76;2,35;-3,53;4,71;12,21;0,8
-1,82;3,56;-4,32;3,71;5,4;-3,29
-0,52;4,74;-8,45;-0,07;-0,1;4,79
1,55;6,52;-11,06;-3,16;9,35;-0,91
-2,02;6,1;-10,19;-0,8;14,65;-1,15
-1,99;3,65;-8,44;3,8;5,85;3,75
0,03;7,07;-10,99;3,46;12,07;-4,2
1,4;7,63;-9,55;3,28;9,23;-0,76
1,58;5,66;-6,81;-2,31;0,73;-1,28
